91 Lê Lợi, Đức Hòa, Tây Ninh
532 Trần Hưng Đạo, Hồng Bàng, Hải Phòng
377 Trần Phú, Hồng Lĩnh, Hà Tĩnh
367 Phan Chu Trinh, Chi Lăng, Lạng Sơn
575 Trần Phú, Vĩnh Long, Vĩnh Long
788 Phan Chu Trinh, Bình Thủy, Cần Thơ
147 Phan Đình Phùng, Hàm Yên, Tuyên Quang
337 Phan Đình Phùng, Tam Điệp, Ninh Bình
69 Trần Hưng Đạo, Đức Hòa, Tây Ninh
175 Lý Thường Kiệt, Hòa An, Cao Bằng
175 Nguyễn Thái Học, Thanh Hóa, Thanh Hóa
289 Hoàng Văn Thụ, Pleiku, Gia Lai
887 Lê Duẩn, Đức Hòa, Tây Ninh
498 Phạm Văn Đồng, Bình Minh, Vĩnh Long
155 Hai Bà Trưng, Ninh Kiều, Cần Thơ
130 Quang Trung, Cẩm Phả, Quảng Ninh
942 Lý Thường Kiệt, Tịnh Biên, An Giang
9 Hoàng Văn Thụ, Thuận Hóa, Huế
206 Lê Duẩn, Ayun Pa, Gia Lai
34 Lê Lợi, Hương Trà, Huế
617 Phan Chu Trinh, Thuận Châu, Sơn La
943 Cách Mạng Tháng Tám, Ayun Pa, Gia Lai
131 Trần Hưng Đạo, Bình Minh, Vĩnh Long
986 Phan Đình Phùng, Tuần Giáo, Điện Biên
478 Nguyễn Du, Bảo Thắng, Lào Cai
937 Trần Hưng Đạo, Uông Bí, Quảng Ninh
324 Nguyễn Trãi, Hạ Long, Quảng Ninh
37 Nguyễn Huệ, Nhơn Trạch, Đồng Nai
686 Trần Phú, Vĩnh Long, Vĩnh Long
103 Phan Chu Trinh, Cam Ranh, Khánh Hòa
245 Trần Hưng Đạo, Đầm Dơi, Cà Mau
191 Phan Chu Trinh, Phong Thổ, Lai Châu
787 Nguyễn Du, Vĩnh Linh, Quảng Trị
693 Cách Mạng Tháng Tám, Nghi Lộc, Nghệ An
480 Đinh Tiên Hoàng, Cao Lãnh, Đồng Tháp
839 Phan Chu Trinh, Kim Sơn, Ninh Bình
532 Lê Lợi, Quế Võ, Bắc Ninh
234 Trần Hưng Đạo, Điện Biên Phủ, Điện Biên
425 Quang Trung, Lạng Sơn, Lạng Sơn
116 Cách Mạng Tháng Tám, Nghi Sơn, Thanh Hóa
471 Phan Đình Phùng, Việt Trì, Phú Thọ
53 Nguyễn Du, Trảng Bom, Đồng Nai
618 Quang Trung, Cư M'gar, Đắk Lắk
518 Nguyễn Du, Thanh Sơn, Phú Thọ
166 Trần Phú, Sơn Trà, Đà Nẵng
597 Nguyễn Thái Học, Bát Xát, Lào Cai
635 Trần Hưng Đạo, Đức Hòa, Tây Ninh
336 Lê Lợi, Trần Văn Thời, Cà Mau
247 Nguyễn Văn Cừ, Hải Châu, Đà Nẵng
39 Hai Bà Trưng, Nghi Xuân, Hà Tĩnh
848 Nguyễn Du, Ninh Kiều, Cần Thơ
228 Trần Hưng Đạo, Đầm Dơi, Cà Mau
780 Hoàng Văn Thụ, Đà Lạt, Lâm Đồng
821 Phạm Văn Đồng, Sơn Tịnh, Quảng Ngãi
71 Phan Đình Phùng, Hưng Yên, Hưng Yên
552 Trần Hưng Đạo, Sầm Sơn, Thanh Hóa
983 Hai Bà Trưng, Đà Lạt, Lâm Đồng
3 Đinh Tiên Hoàng, Long Hồ, Vĩnh Long
742 Phan Chu Trinh, Mộc Châu, Sơn La
939 Phan Đình Phùng, Đức Phổ, Quảng Ngãi
898 Nguyễn Thái Học, Từ Sơn, Bắc Ninh
20 Trần Phú, Sầm Sơn, Thanh Hóa
307 Cách Mạng Tháng Tám, Phong Thổ, Lai Châu
141 Hai Bà Trưng, Ninh Hòa, Khánh Hòa
927 Trần Phú, Yên Sơn, Tuyên Quang
549 Nguyễn Huệ, Tam Đường, Lai Châu
95 Lê Lợi, Krông Pắc, Đắk Lắk
982 Lê Lợi, Cao Bằng, Cao Bằng
271 Đinh Tiên Hoàng, Sơn Tịnh, Quảng Ngãi
172 Phan Chu Trinh, Ninh Kiều, Cần Thơ
379 Nguyễn Trãi, Điện Biên Phủ, Điện Biên
39 Cách Mạng Tháng Tám, Bến Lức, Tây Ninh
176 Cách Mạng Tháng Tám, Vinh, Nghệ An
365 Phạm Văn Đồng, Kỳ Anh, Hà Tĩnh
774 Phan Đình Phùng, Sa Đéc, Đồng Tháp
561 Lê Duẩn, Nghi Sơn, Thanh Hóa
812 Phan Chu Trinh, Mộc Hóa, Tây Ninh
211 Lê Duẩn, Na Hang, Tuyên Quang
187 Nguyễn Văn Cừ, Cẩm Phả, Quảng Ninh
228 Hai Bà Trưng, Phổ Yên, Thái Nguyên
958 Nguyễn Huệ, U Minh, Cà Mau
578 Quang Trung, Nghi Lộc, Nghệ An
282 Nguyễn Huệ, Mỹ Hào, Hưng Yên
273 Hai Bà Trưng, Mộc Hóa, Tây Ninh
891 Lê Lợi, Nghi Xuân, Hà Tĩnh
476 Nguyễn Huệ, Tam Đường, Lai Châu
883 Hoàng Văn Thụ, Phú Xuân, Huế
433 Nguyễn Trãi, Pleiku, Gia Lai
215 Nguyễn Thái Học, Từ Sơn, Bắc Ninh
941 Phan Chu Trinh, Ea Kar, Đắk Lắk
194 Đinh Tiên Hoàng, Vĩnh Linh, Quảng Trị
708 Cách Mạng Tháng Tám, Long Khánh, Đồng Nai
162 Quang Trung, Sơn Tịnh, Quảng Ngãi
299 Trần Hưng Đạo, Cao Lãnh, Đồng Tháp
50 Nguyễn Du, Long Khánh, Đồng Nai
814 Nguyễn Trãi, Quế Võ, Bắc Ninh
641 Lý Thường Kiệt, Mai Sơn, Sơn La
632 Lê Duẩn, Tư Nghĩa, Quảng Ngãi
604 Hoàng Văn Thụ, Na Hang, Tuyên Quang
92 Phạm Văn Đồng, Kỳ Anh, Hà Tĩnh
750 Trần Phú, Sa Pa, Lào Cai
612 Nguyễn Du, Bảo Thắng, Lào Cai
38 Phan Đình Phùng, Hạ Long, Quảng Ninh
934 Nguyễn Thái Học, Nhơn Trạch, Đồng Nai
621 Nguyễn Du, U Minh, Cà Mau
794 Trần Hưng Đạo, Mường Lay, Điện Biên
804 Quang Trung, Hưng Yên, Hưng Yên
967 Hai Bà Trưng, Long Hồ, Vĩnh Long
449 Lê Lợi, Cửa Lò, Nghệ An
827 Quang Trung, Bắc Ninh, Bắc Ninh
266 Hoàng Văn Thụ, Lấp Vò, Đồng Tháp
356 Phan Đình Phùng, Móng Cái, Quảng Ninh
251 Phạm Văn Đồng, Hà Tĩnh, Hà Tĩnh
709 Quang Trung, Hòa An, Cao Bằng
470 Nguyễn Thái Học, Nguyên Bình, Cao Bằng
720 Nguyễn Văn Cừ, Chư Păh, Gia Lai
236 Phạm Văn Đồng, Tân An, Tây Ninh
677 Cách Mạng Tháng Tám, Krông Pắc, Đắk Lắk
992 Quang Trung, Mường Lay, Điện Biên
450 Hai Bà Trưng, Cam Ranh, Khánh Hòa
653 Nguyễn Du, Cái Răng, Cần Thơ
167 Quang Trung, Hưng Yên, Hưng Yên
656 Hai Bà Trưng, Đại Từ, Thái Nguyên
775 Phan Đình Phùng, Nho Quan, Ninh Bình
386 Cách Mạng Tháng Tám, Hàm Yên, Tuyên Quang
951 Cách Mạng Tháng Tám, Đức Phổ, Quảng Ngãi
687 Nguyễn Thái Học, Hải Châu, Đà Nẵng
198 Nguyễn Văn Cừ, Hải Châu, Đà Nẵng
349 Trần Phú, Hương Thủy, Huế
106 Hai Bà Trưng, Ngô Quyền, Hải Phòng
778 Lý Thường Kiệt, Lạng Sơn, Lạng Sơn
254 Nguyễn Du, Diễn Châu, Nghệ An
821 Trần Hưng Đạo, Tuyên Quang, Tuyên Quang
322 Trần Phú, Châu Thành, An Giang
511 Lý Thường Kiệt, Long Khánh, Đồng Nai
799 Đinh Tiên Hoàng, Quảng Ngãi, Quảng Ngãi
322 Đinh Tiên Hoàng, Mang Thít, Vĩnh Long
553 Trần Phú, Cao Lãnh, Đồng Tháp
172 Nguyễn Du, Hương Trà, Huế
831 Lý Thường Kiệt, Lê Chân, Hải Phòng
145 Phạm Văn Đồng, Lâm Thao, Phú Thọ
71 Nguyễn Du, Bến Lức, Tây Ninh
929 Phan Đình Phùng, Cửa Lò, Nghệ An
593 Hai Bà Trưng, Tuần Giáo, Điện Biên
178 Võ Thị Sáu, Ea Kar, Đắk Lắk
99 Cách Mạng Tháng Tám, Nho Quan, Ninh Bình
616 Trần Hưng Đạo, Than Uyên, Lai Châu
646 Nguyễn Du, Hàm Yên, Tuyên Quang
251 Nguyễn Văn Cừ, Hồng Bàng, Hải Phòng
154 Nguyễn Trãi, Cao Bằng, Cao Bằng
968 Lê Duẩn, Mỹ Hào, Hưng Yên
381 Phạm Văn Đồng, Ninh Kiều, Cần Thơ
584 Hoàng Văn Thụ, Móng Cái, Quảng Ninh
883 Nguyễn Du, Ngũ Hành Sơn, Đà Nẵng
840 Cách Mạng Tháng Tám, Kỳ Anh, Hà Tĩnh
864 Lý Thường Kiệt, Krông Pắc, Đắk Lắk
743 Trần Hưng Đạo, Ninh Kiều, Cần Thơ
967 Lê Duẩn, Long Hồ, Vĩnh Long
397 Cách Mạng Tháng Tám, Tam Điệp, Ninh Bình
360 Trần Phú, Điện Biên Phủ, Điện Biên
777 Đinh Tiên Hoàng, Uông Bí, Quảng Ninh
437 Nguyễn Văn Cừ, Lạng Sơn, Lạng Sơn
332 Lê Duẩn, Đức Hòa, Tây Ninh
174 Phạm Văn Đồng, Buôn Ma Thuột, Đắk Lắk
289 Lê Lợi, Nghi Xuân, Hà Tĩnh
184 Nguyễn Trãi, Đầm Dơi, Cà Mau
133 Phan Đình Phùng, Hà Tĩnh, Hà Tĩnh
137 Phan Đình Phùng, Việt Trì, Phú Thọ
990 Lê Duẩn, Yên Phong, Bắc Ninh
580 Nguyễn Văn Cừ, Sầm Sơn, Thanh Hóa
707 Nguyễn Văn Cừ, Yên Sơn, Tuyên Quang
33 Hoàng Văn Thụ, Di Linh, Lâm Đồng
122 Hoàng Văn Thụ, Mộc Châu, Sơn La
362 Trần Hưng Đạo, Vinh, Nghệ An
894 Nguyễn Thái Học, Hữu Lũng, Lạng Sơn
598 Nguyễn Văn Cừ, Thanh Hóa, Thanh Hóa
108 Đinh Tiên Hoàng, Sầm Sơn, Thanh Hóa
107 Lê Lợi, Kỳ Anh, Hà Tĩnh
957 Lê Duẩn, Hạ Long, Quảng Ninh
881 Phan Chu Trinh, Đông Hà, Quảng Trị
250 Phan Chu Trinh, Nho Quan, Ninh Bình
253 Nguyễn Văn Cừ, Long Xuyên, An Giang
853 Hoàng Văn Thụ, Điện Biên Phủ, Điện Biên
269 Nguyễn Huệ, Thái Nguyên, Thái Nguyên
27 Nguyễn Du, Thanh Sơn, Phú Thọ
488 Nguyễn Trãi, Di Linh, Lâm Đồng
277 Hai Bà Trưng, Gio Linh, Quảng Trị
430 Cách Mạng Tháng Tám, Móng Cái, Quảng Ninh
35 Phan Chu Trinh, Nho Quan, Ninh Bình
155 Hoàng Văn Thụ, Uông Bí, Quảng Ninh
229 Phạm Văn Đồng, Cư M'gar, Đắk Lắk
714 Nguyễn Du, Sơn Tịnh, Quảng Ngãi
189 Phạm Văn Đồng, Ninh Hòa, Khánh Hòa
444 Đinh Tiên Hoàng, Nghi Sơn, Thanh Hóa
665 Phạm Văn Đồng, An Khê, Gia Lai
650 Trần Phú, Văn Lâm, Hưng Yên
833 Lý Thường Kiệt, Hạ Long, Quảng Ninh
498 Võ Thị Sáu, Ea Kar, Đắk Lắk
946 Phan Đình Phùng, Yên Phong, Bắc Ninh
189 Nguyễn Trãi, Biên Hòa, Đồng Nai
346 Nguyễn Du, Mỹ Hào, Hưng Yên
664 Nguyễn Huệ, Đại Từ, Thái Nguyên
107 Nguyễn Huệ, Gio Linh, Quảng Trị
190 Phạm Văn Đồng, Kỳ Anh, Hà Tĩnh
833 Trần Phú, Nghi Sơn, Thanh Hóa
472 Trần Hưng Đạo, An Khê, Gia Lai
164 Đinh Tiên Hoàng, Thanh Sơn, Phú Thọ
530 Trần Phú, Bắc Ninh, Bắc Ninh
374 Lê Lợi, Mai Sơn, Sơn La
740 Trần Phú, Hà Tĩnh, Hà Tĩnh
861 Phạm Văn Đồng, Ea Kar, Đắk Lắk
163 Nguyễn Thái Học, Long Khánh, Đồng Nai
576 Phan Đình Phùng, Vĩnh Linh, Quảng Trị
357 Đinh Tiên Hoàng, Kỳ Anh, Hà Tĩnh
575 Phan Chu Trinh, Sơn Tịnh, Quảng Ngãi
924 Võ Thị Sáu, Ngũ Hành Sơn, Đà Nẵng
479 Cách Mạng Tháng Tám, Kiến An, Hải Phòng
694 Phan Chu Trinh, Ninh Hòa, Khánh Hòa
443 Nguyễn Trãi, Tam Đường, Lai Châu
55 Nguyễn Du, Cư M'gar, Đắk Lắk
410 Hoàng Văn Thụ, Lai Châu, Lai Châu
477 Lê Duẩn, Di Linh, Lâm Đồng
938 Phan Chu Trinh, Thái Nguyên, Thái Nguyên
120 Võ Thị Sáu, Yên Sơn, Tuyên Quang
680 Trần Phú, Vĩnh Linh, Quảng Trị
698 Hoàng Văn Thụ, Đức Phổ, Quảng Ngãi
706 Hoàng Văn Thụ, Lê Chân, Hải Phòng
762 Hoàng Văn Thụ, Hòa An, Cao Bằng
435 Hai Bà Trưng, Mai Sơn, Sơn La
278 Hai Bà Trưng, Sơn Tịnh, Quảng Ngãi
15 Nguyễn Trãi, Gio Linh, Quảng Trị
105 Phan Chu Trinh, Nghi Sơn, Thanh Hóa
8 Trần Phú, Bỉm Sơn, Thanh Hóa
702 Lý Thường Kiệt, Mỹ Hào, Hưng Yên
531 Nguyễn Trãi, Vinh, Nghệ An
809 Phan Chu Trinh, Cao Lãnh, Đồng Tháp
309 Cách Mạng Tháng Tám, Kim Sơn, Ninh Bình
642 Trần Phú, Nguyên Bình, Cao Bằng
252 Quang Trung, Tam Đường, Lai Châu
265 Phạm Văn Đồng, Kiến An, Hải Phòng
972 Phạm Văn Đồng, Thanh Khê, Đà Nẵng
231 Nguyễn Thái Học, Phú Xuân, Huế
674 Phạm Văn Đồng, Gio Linh, Quảng Trị
474 Quang Trung, Thanh Khê, Đà Nẵng
154 Trần Phú, Sơn Trà, Đà Nẵng
675 Hai Bà Trưng, Đại Từ, Thái Nguyên
717 Quang Trung, Mường Lay, Điện Biên
885 Trần Phú, Bảo Lộc, Lâm Đồng
12 Võ Thị Sáu, Đầm Dơi, Cà Mau
574 Lê Duẩn, Bảo Thắng, Lào Cai
107 Quang Trung, Cửa Lò, Nghệ An
214 Phạm Văn Đồng, Thanh Hóa, Thanh Hóa
69 Hai Bà Trưng, Bát Xát, Lào Cai
637 Võ Thị Sáu, Sơn Tịnh, Quảng Ngãi
215 Trần Phú, Cà Mau, Cà Mau
736 Phan Chu Trinh, Nha Trang, Khánh Hòa
999 Nguyễn Trãi, Yên Phong, Bắc Ninh
867 Nguyễn Huệ, Cao Bằng, Cao Bằng
328 Lê Duẩn, U Minh, Cà Mau
241 Trần Phú, Vĩnh Linh, Quảng Trị
600 Trần Phú, Diễn Châu, Nghệ An
985 Hai Bà Trưng, Hữu Lũng, Lạng Sơn
369 Trần Phú, Mường Lay, Điện Biên
862 Trần Phú, Quảng Trị, Quảng Trị
549 Nguyễn Du, Hưng Yên, Hưng Yên
516 Đinh Tiên Hoàng, Hà Tĩnh, Hà Tĩnh
549 Nguyễn Thái Học, Vinh, Nghệ An
590 Cách Mạng Tháng Tám, Hải Châu, Đà Nẵng
244 Hai Bà Trưng, Mộc Châu, Sơn La
193 Hoàng Văn Thụ, Đức Phổ, Quảng Ngãi
591 Nguyễn Thái Học, Bảo Lộc, Lâm Đồng
948 Đinh Tiên Hoàng, Trảng Bom, Đồng Nai
507 Phan Chu Trinh, Thanh Hóa, Thanh Hóa
150 Cách Mạng Tháng Tám, Yên Phong, Bắc Ninh
146 Nguyễn Huệ, Tuyên Quang, Tuyên Quang
718 Lê Lợi, Đức Trọng, Lâm Đồng
436 Trần Phú, Diên Khánh, Khánh Hòa
345 Hai Bà Trưng, Hưng Yên, Hưng Yên
417 Phạm Văn Đồng, Mộc Châu, Sơn La
361 Quang Trung, Nha Trang, Khánh Hòa
745 Lý Thường Kiệt, Thanh Khê, Đà Nẵng
732 Phan Chu Trinh, Phong Thổ, Lai Châu
3 Quang Trung, Hàm Yên, Tuyên Quang
533 Nguyễn Trãi, Cao Bằng, Cao Bằng
578 Phan Đình Phùng, An Khê, Gia Lai
929 Nguyễn Du, Hải Châu, Đà Nẵng
722 Nguyễn Trãi, Phú Xuân, Huế
100 Hai Bà Trưng, Thanh Sơn, Phú Thọ
944 Lê Duẩn, U Minh, Cà Mau
519 Trần Phú, Diễn Châu, Nghệ An
520 Hoàng Văn Thụ, Vinh, Nghệ An
195 Trần Hưng Đạo, Yên Phong, Bắc Ninh
982 Lê Duẩn, Hồng Ngự, Đồng Tháp
768 Lê Lợi, Ayun Pa, Gia Lai
672 Lê Duẩn, Mường Lay, Điện Biên
862 Lý Thường Kiệt, Yên Sơn, Tuyên Quang
741 Quang Trung, Cửa Lò, Nghệ An
557 Nguyễn Du, Tân An, Tây Ninh
332 Lý Thường Kiệt, Châu Thành, An Giang
678 Nguyễn Văn Cừ, Quảng Trị, Quảng Trị
943 Lý Thường Kiệt, Bỉm Sơn, Thanh Hóa
9 Trần Phú, Thuận Hóa, Huế
419 Phan Đình Phùng, Chư Păh, Gia Lai
916 Nguyễn Huệ, Cao Lãnh, Đồng Tháp
309 Nguyễn Văn Cừ, Cao Lãnh, Đồng Tháp
425 Võ Thị Sáu, Bình Thủy, Cần Thơ
939 Phạm Văn Đồng, Yên Sơn, Tuyên Quang
851 Đinh Tiên Hoàng, Hải Châu, Đà Nẵng
677 Hai Bà Trưng, Hồng Bàng, Hải Phòng
462 Nguyễn Văn Cừ, Tuần Giáo, Điện Biên
258 Phạm Văn Đồng, Diễn Châu, Nghệ An
530 Phạm Văn Đồng, Quảng Trị, Quảng Trị
863 Đinh Tiên Hoàng, Phổ Yên, Thái Nguyên
149 Cách Mạng Tháng Tám, Lấp Vò, Đồng Tháp
368 Lê Duẩn, Điện Biên, Điện Biên
29 Phan Đình Phùng, Krông Pắc, Đắk Lắk
281 Trần Hưng Đạo, Hạ Long, Quảng Ninh
913 Hai Bà Trưng, Lào Cai, Lào Cai
294 Phan Đình Phùng, Gio Linh, Quảng Trị
917 Trần Phú, Lê Chân, Hải Phòng
140 Nguyễn Thái Học, Lạng Sơn, Lạng Sơn
505 Phan Đình Phùng, Phổ Yên, Thái Nguyên
341 Cách Mạng Tháng Tám, Đầm Dơi, Cà Mau
262 Lý Thường Kiệt, Bình Thủy, Cần Thơ
818 Lê Lợi, Mai Sơn, Sơn La
586 Nguyễn Huệ, Thanh Khê, Đà Nẵng
631 Phan Đình Phùng, Bình Minh, Vĩnh Long
522 Võ Thị Sáu, Nha Trang, Khánh Hòa
669 Nguyễn Văn Cừ, Hữu Lũng, Lạng Sơn
36 Trần Phú, Thuận Châu, Sơn La
337 Phan Đình Phùng, Lào Cai, Lào Cai
469 Phạm Văn Đồng, Hà Tĩnh, Hà Tĩnh
71 Trần Phú, Krông Pắc, Đắk Lắk
795 Phan Chu Trinh, Lâm Thao, Phú Thọ
702 Trần Phú, Bắc Ninh, Bắc Ninh
115 Phan Chu Trinh, Na Hang, Tuyên Quang
474 Phan Chu Trinh, Bắc Ninh, Bắc Ninh
433 Lý Thường Kiệt, Pleiku, Gia Lai
125 Lê Duẩn, Sa Pa, Lào Cai
632 Nguyễn Du, Bát Xát, Lào Cai
81 Đinh Tiên Hoàng, Hữu Lũng, Lạng Sơn
702 Võ Thị Sáu, Thanh Hóa, Thanh Hóa
849 Nguyễn Trãi, Từ Sơn, Bắc Ninh
888 Đinh Tiên Hoàng, Kỳ Anh, Hà Tĩnh
969 Phan Đình Phùng, Trùng Khánh, Cao Bằng
166 Trần Phú, Nghi Lộc, Nghệ An
600 Nguyễn Thái Học, Bỉm Sơn, Thanh Hóa
640 Nguyễn Huệ, Krông Pắc, Đắk Lắk
197 Trần Phú, Nha Trang, Khánh Hòa
999 Phạm Văn Đồng, Mang Thít, Vĩnh Long
807 Nguyễn Du, Bắc Ninh, Bắc Ninh
804 Trần Hưng Đạo, Lê Chân, Hải Phòng
318 Lê Lợi, Bát Xát, Lào Cai
710 Trần Hưng Đạo, Sơn Tịnh, Quảng Ngãi
173 Nguyễn Huệ, Tuần Giáo, Điện Biên
8 Cách Mạng Tháng Tám, Hồng Ngự, Đồng Tháp
475 Lý Thường Kiệt, Diên Khánh, Khánh Hòa
320 Lê Lợi, Cao Bằng, Cao Bằng
61 Nguyễn Trãi, Hồng Ngự, Đồng Tháp
437 Phan Đình Phùng, Lạng Sơn, Lạng Sơn
644 Nguyễn Thái Học, Phong Thổ, Lai Châu
352 Đinh Tiên Hoàng, Sầm Sơn, Thanh Hóa
206 Trần Phú, Nho Quan, Ninh Bình
609 Trần Phú, Vĩnh Long, Vĩnh Long
255 Phan Đình Phùng, Thuận Hóa, Huế
691 Lý Thường Kiệt, Ninh Hòa, Khánh Hòa
98 Lý Thường Kiệt, Vinh, Nghệ An
6 Nguyễn Văn Cừ, Hải Châu, Đà Nẵng
434 Nguyễn Du, Việt Trì, Phú Thọ
565 Võ Thị Sáu, Yên Phong, Bắc Ninh
778 Trần Hưng Đạo, Tuyên Quang, Tuyên Quang
751 Đinh Tiên Hoàng, Thuận Hóa, Huế
379 Võ Thị Sáu, Hồng Lĩnh, Hà Tĩnh
147 Phạm Văn Đồng, Kỳ Anh, Hà Tĩnh
790 Phạm Văn Đồng, Đức Phổ, Quảng Ngãi
814 Nguyễn Trãi, Nghi Xuân, Hà Tĩnh
722 Võ Thị Sáu, Trùng Khánh, Cao Bằng
226 Trần Hưng Đạo, Đầm Dơi, Cà Mau
988 Phạm Văn Đồng, Yên Phong, Bắc Ninh
183 Nguyễn Huệ, Bến Lức, Tây Ninh
329 Nguyễn Văn Cừ, Diên Khánh, Khánh Hòa
827 Nguyễn Trãi, Ngũ Hành Sơn, Đà Nẵng
883 Nguyễn Trãi, Phổ Yên, Thái Nguyên
875 Cách Mạng Tháng Tám, Bến Lức, Tây Ninh
175 Lê Duẩn, Mang Thít, Vĩnh Long
654 Nguyễn Văn Cừ, Kỳ Anh, Hà Tĩnh
341 Trần Phú, Kỳ Anh, Hà Tĩnh
159 Võ Thị Sáu, Thanh Hóa, Thanh Hóa
682 Đinh Tiên Hoàng, Đức Phổ, Quảng Ngãi
726 Trần Phú, Di Linh, Lâm Đồng
270 Võ Thị Sáu, Đại Từ, Thái Nguyên
953 Nguyễn Du, Châu Đốc, An Giang
601 Nguyễn Du, Lào Cai, Lào Cai
781 Phan Đình Phùng, Lâm Thao, Phú Thọ
747 Phạm Văn Đồng, Mang Thít, Vĩnh Long
898 Võ Thị Sáu, Thanh Hóa, Thanh Hóa
650 Nguyễn Huệ, Sông Công, Thái Nguyên
921 Phan Đình Phùng, Nguyên Bình, Cao Bằng
859 Hoàng Văn Thụ, Bình Thủy, Cần Thơ
838 Hai Bà Trưng, Thái Nguyên, Thái Nguyên
980 Nguyễn Du, Trùng Khánh, Cao Bằng
495 Đinh Tiên Hoàng, Diên Khánh, Khánh Hòa
967 Lý Thường Kiệt, Đông Hà, Quảng Trị
605 Hoàng Văn Thụ, Mỹ Hào, Hưng Yên
191 Nguyễn Văn Cừ, Thanh Khê, Đà Nẵng
943 Lý Thường Kiệt, Hưng Yên, Hưng Yên
556 Nguyễn Trãi, Kim Sơn, Ninh Bình
689 Lý Thường Kiệt, Tam Đường, Lai Châu
433 Nguyễn Huệ, Đầm Dơi, Cà Mau
723 Nguyễn Du, Việt Trì, Phú Thọ
58 Đinh Tiên Hoàng, Bình Minh, Vĩnh Long
89 Nguyễn Huệ, Khoái Châu, Hưng Yên
778 Nguyễn Văn Cừ, Na Hang, Tuyên Quang
771 Trần Phú, Ninh Hòa, Khánh Hòa
841 Lê Duẩn, Vinh, Nghệ An
98 Hoàng Văn Thụ, Bảo Lộc, Lâm Đồng
475 Nguyễn Thái Học, Hưng Yên, Hưng Yên
676 Nguyễn Thái Học, Tịnh Biên, An Giang
754 Phan Đình Phùng, Khoái Châu, Hưng Yên
183 Hoàng Văn Thụ, Khoái Châu, Hưng Yên
50 Hoàng Văn Thụ, Ninh Hòa, Khánh Hòa
880 Trần Hưng Đạo, Khoái Châu, Hưng Yên
751 Nguyễn Thái Học, Nghi Xuân, Hà Tĩnh
511 Lê Lợi, Bắc Ninh, Bắc Ninh
233 Lê Duẩn, Đại Từ, Thái Nguyên
408 Đinh Tiên Hoàng, Bình Thủy, Cần Thơ
788 Trần Phú, Kim Sơn, Ninh Bình
844 Nguyễn Thái Học, Văn Lâm, Hưng Yên
825 Lê Lợi, Nguyên Bình, Cao Bằng
595 Nguyễn Thái Học, Nha Trang, Khánh Hòa
426 Cách Mạng Tháng Tám, Châu Đốc, An Giang
17 Quang Trung, Long Khánh, Đồng Nai
894 Nguyễn Du, Trần Văn Thời, Cà Mau
402 Trần Hưng Đạo, Châu Đốc, An Giang
616 Quang Trung, Sơn Tịnh, Quảng Ngãi
168 Trần Hưng Đạo, Long Khánh, Đồng Nai
947 Nguyễn Du, Bảo Lộc, Lâm Đồng
525 Lê Duẩn, Uông Bí, Quảng Ninh
559 Trần Phú, Gio Linh, Quảng Trị
321 Phạm Văn Đồng, Nha Trang, Khánh Hòa
608 Hai Bà Trưng, Cao Lãnh, Đồng Tháp
899 Nguyễn Huệ, Sông Công, Thái Nguyên
606 Nguyễn Thái Học, Mường Lay, Điện Biên
347 Nguyễn Trãi, Đức Phổ, Quảng Ngãi
913 Nguyễn Trãi, Kim Sơn, Ninh Bình
295 Nguyễn Trãi, Cao Lãnh, Đồng Tháp
513 Quang Trung, Khoái Châu, Hưng Yên
451 Lê Duẩn, Bảo Thắng, Lào Cai
129 Nguyễn Văn Cừ, Ayun Pa, Gia Lai
66 Đinh Tiên Hoàng, Đại Từ, Thái Nguyên
535 Lý Thường Kiệt, Móng Cái, Quảng Ninh
14 Nguyễn Trãi, Nha Trang, Khánh Hòa
981 Phan Đình Phùng, Mang Thít, Vĩnh Long
986 Lê Lợi, Mai Sơn, Sơn La
627 Võ Thị Sáu, Tuần Giáo, Điện Biên
776 Lê Duẩn, Hồng Lĩnh, Hà Tĩnh
363 Hoàng Văn Thụ, Nha Trang, Khánh Hòa
103 Nguyễn Thái Học, Móng Cái, Quảng Ninh
914 Võ Thị Sáu, An Khê, Gia Lai
280 Hai Bà Trưng, Pleiku, Gia Lai
834 Hoàng Văn Thụ, Thuận Châu, Sơn La
620 Trần Hưng Đạo, Kỳ Anh, Hà Tĩnh
877 Võ Thị Sáu, Long Xuyên, An Giang
348 Hai Bà Trưng, Hà Tĩnh, Hà Tĩnh
995 Phan Chu Trinh, Hồng Bàng, Hải Phòng
303 Cách Mạng Tháng Tám, Vinh, Nghệ An
188 Hoàng Văn Thụ, Lào Cai, Lào Cai
838 Hai Bà Trưng, Nha Trang, Khánh Hòa
816 Phạm Văn Đồng, Mộc Hóa, Tây Ninh
743 Hai Bà Trưng, Ayun Pa, Gia Lai
813 Hai Bà Trưng, Trảng Bom, Đồng Nai
561 Cách Mạng Tháng Tám, U Minh, Cà Mau
378 Trần Phú, Hòa An, Cao Bằng
390 Phạm Văn Đồng, Sông Công, Thái Nguyên
547 Hoàng Văn Thụ, Đầm Dơi, Cà Mau
783 Võ Thị Sáu, Châu Thành, An Giang
893 Phan Đình Phùng, Đầm Dơi, Cà Mau
62 Nguyễn Văn Cừ, Mộc Hóa, Tây Ninh
80 Phan Chu Trinh, Phổ Yên, Thái Nguyên
238 Nguyễn Văn Cừ, Cái Răng, Cần Thơ
